ck3 title,czech
c_brecknockshire,
b_brecon,
b_talgarth,
c_monmouthshire,
b_casnewydd,
b_monmouth,
c_gwyr,
b_loughor,
b_swansea,
d_deheubarth,
c_carmarthenshire,
b_carmarthen,
b_llandovery,
c_cardiganshire,
b_cardigan,
b_aberystwyth,
c_pembrokeshire,
b_pembroke,
b_st_davids,
b_fishguard,
k_ellan_vanin,
d_hebrides,
c_inner_hebrides,
b_arran,
b_aileach_bod,
c_muile,
b_mull,
b_iona,
c_ile,
b_islay,
b_colonsay,
c_kintyre,
b_saddell,
b_kinlochkilkerran,
c_argyll,
b_kilmarten,
b_glencoe,
b_lomond,
b_ardnamurchon,
d_western_isles,
c_outer_hebrides,
b_skye,
b_trotternish,
b_baghnahuamh,
c_leodhas,
b_lewis,
b_st_moluag,
c_uibhist,
b_the_uists,
b_cille_pheadair,
d_the_isles,
c_isle_of_man,
b_castletown,
b_ramsey,
k_scotland,
d_aberdeen,
c_mearns,
b_aberdeen,
b_kincardine,
b_ballater,
c_buchan,
b_banff,
b_mortlach,
b_peterhead,
d_albany,
c_gowrie,
b_st_johnston,
b_coupar_angus,
b_crieff,
c_fife,
b_dunfermline,
b_kircaldy,
b_st_andrews,
c_strathearn,
b_stirling,
b_callander,
b_clackmannan,
c_atholl,
b_dunkeld,
b_aberfeldy,
c_angus,
b_dundee,
b_kirriemuir,
b_mar,
d_galloway,
c_galloway,
b_kilcudbrite,
b_sanquhar,
b_wigtown,
c_carrick,
b_maybole,
b_girvan,
d_strathclyde,
c_lennox,
b_dumbarton,
b_glasgow,
b_meneith,
c_lanarkshire,
b_lanark,
b_cadyou,
b_biggar,
c_ayrshire,
b_kyle,
b_strathgryte,
b_cunningham,
c_annandale,
b_annan,
b_dumfries,
c_cumberland,
b_carlisle,
b_whitehaven,
b_furness,
b_wigton,
d_lothian,
c_lothian,
b_edinburgh,
b_haddington,
b_galashiels,
b_penicuick,
c_dunbar,
b_dunbar,
b_berwick,
c_teviotdale,
b_kelso,
b_jedburgh,
b_selkirk,
c_linlithgowshire,
b_linlithgow,
b_queensferry,
b_falkirk,
d_sutherland,
c_sutherland,
b_dornoch,
b_durness,
b_assynt,
c_caithness,
b_thurso,
b_wick,
d_moray,
c_moray,
b_elgin,
b_keith,
b_garioch,
c_ross,
b_dingwall,
b_gairloch,
b_tain,
b_applecross,
c_inverness,
b_inverness,
b_badenoch,
b_glenfinnan,
b_glenelg,
b_urquhart,
k_ireland_titular,
k_ireland,
d_meath,
c_brega,
b_drogheda,
b_trim,
c_dublin,
b_dublin,
b_wicklow,
c_athlone,
b_birr,
b_athlone,
b_uisneach,
d_ulster,
c_ulster,
b_downpatrick,
b_slemish,
b_carrickfergus,
b_bangor,
c_oriel,
b_dundalk,
b_dungannon,
b_clogher,
b_armagh,
b_ardee,
c_ailech,
b_donegal,
b_raphoe,
b_fahan,
b_derry,
d_connacht,
c_connacht,
b_galway,
b_tuam,
b_athenry,
b_da_chainoc,
c_mayo,
b_cruachu,
b_castlebar,
b_sligo,
b_killala,
c_breifne,
b_dromahair,
b_belcoo,
b_longford,
b_cavan,
b_adragh,
d_leinster,
c_leinster,
b_wexford,
b_enniscorthy,
b_ferns,
c_kildare,
b_carlow,
b_kildare,
c_ossory,
b_gowran,
b_kilkenny,
b_athy,
b_carrick,
d_munster,
c_thomond,
b_limerick,
b_nenagh,
b_roscrea,
b_kilmallock,
c_ennis,
b_ennis,
b_kincora,
c_ormond,
b_waterford,
b_emly,
b_clonmel,
c_cork,
b_cork,
b_kinsale,
c_desmond,
b_tralee,
b_baltimore,
k_cornwall,
k_mann_the_isles,
k_old_franconia,
k_saxony,Sorbia
,
d_bremen,
d_magdeburg,Děvín
d_anhalt,Belavia
,
c_wittenberg,Bílohrad
b_wittenberg,Bílohrad
b_belizi,
c_brene,Jiłow
b_eilenburg,Jiłow
b_torgau,
b_brene,
b_duben,
c_dessau,Desava
b_dessau,Desava
b_zerbst,
c_halberstadt,Půlměsta
b_halberstadt,Půlměsta
b_arnstein,
c_mansfeld,Mužpole
b_mansfeld,Mužpole
b_sangerhausen,
c_mersenburg,Meziboř
b_mersenburg,Meziboř
b_leipzig,Lipsko
b_halle,Hala
d_angria,
c_minden,
b_diepholz,
b_bruchhausen,
b_hoya,
c_stade,
b_stade,
b_bederkesa,
b_cuxhaven,
b_buxtehude,
c_lippe,
b_lippe,
b_schwalenberg,
c_bremen,
b_bremen,
b_verden,
b_zeven,
c_schaumburg,
b_schauenburg,
b_minden,
c_wolpe,
b_wolpe,
b_depenau,
c_oldenburg,
b_oldenburg,
b_leer,
b_twistringen,
d_westfalen,
c_osnabruck,
b_ravensberg,
b_osnabruck,
b_vechta,
b_wiedenbruck,
c_arnsberg,
b_arnsberg,
b_bilstein,
b_soest,
b_buren,
c_bentheim,
b_bentheim,
b_laar,
b_almelo,
c_tecklenburg,
b_tecklenburg,
b_papenburg,
b_meppen,
b_cloppenburg,
c_munster,
b_munster,
b_warendorf,
b_ahlen,
c_paderborn,
b_paderborn,
b_brakel,
b_lippstadt,
d_lauenburg,
c_ratzeburg,
b_ratzeburg,
b_lauenburg,
c_dannenberg,
b_dannenberg,
b_luchow,
c_schwerin,
b_schwerin,
b_wismar,
d_ostfalen,
c_luneburg,
,
b_luneburg,
b_uelzen,
b_walsrode,
b_celle,
b_gifhorn,
c_blankenburg,
b_blankenburg,
b_hohenstein,
b_werningerode,
c_gottingen,
b_goslar,
b_gottingen,
c_hannover,
b_hannover,
b_wunsdorf,
b_woldenberg,
c_hildesheim,
b_everstein,
b_hildesheim,
b_homburg,
b_dassel,
c_brunswick,
b_brunswick,
b_wolfenbuttel,
d_meissen,Míšeň
c_meissen,Míšeň
b_meissen,Míšeň
b_radebeul,
b_grossenhain,
c_dresden,Drážďany
b_dresden,Drážďany
b_bischofswerda,
b_freiberg,
c_wolkenstein,Přísečnice
b_wolkenstein,Přísečnice
b_waldenburg,
c_osterland,Sálano
b_colditz,Kolečko
b_devin,
b_leisning,
c_naumburg,Novýhrad
b_naumburg,Novýhrad
b_altenburg,
c_vogtland,Fojtsko
b_reichenbach,Rychbach
b_plauen,
b_gera,
b_cheb,
b_rehau,
d_lausitz,Lusatia
c_juterbog,Jutríbůh
b_juterbog,Jutríbůh
b_dahme,
c_cottbus,Chotěbuz
b_cottbus,Chotěbuz
b_kamenz,
b_lubben,
c_gorlitz,Zhořelec
b_gorlitz,Zhořelec
b_bautzen,
b_spremberg,
c_spreewald,Sprévský Les
b_spreewald,Sprévský Les
b_storkow,
c_naumberg,Novýhrad
b_naumberg,Novýhrad
b_forst,Baršć
d_holstein,
c_hamburg,
b_hamburg,
b_ahrensburg,
c_ditmarschen,
b_ditmarschen,
b_neumunster,
b_itzehoe,
d_thuringia,
c_schmalkalden,
b_eisenach,
b_gleichen,
c_gleichenstein,
b_gleichenstein,
b_ebeleben,
b_muhlhausen,
c_orlamunde,
b_orlamunde,
b_kafernburg,
b_beichtinen,
c_lobdaburg,
b_schwarzburg,
b_lobdaburg,
b_hof,
k_frisia,
,
d_holland,
c_holland,
b_rotterdam,
b_haarlem,
b_delft,
b_dort,
b_den_haag,
c_amstelland,
b_ouderkerk,
b_amsterdam,
c_westfriesland,
b_medemblik,
b_aalkmar,
b_edam,
c_altena,
b_woudrichem,
b_geertruidenberg,
c_zeeland,
b_middelburg,
b_brielle,
b_goes,
b_zierikzee,
d_utrecht,
c_nedersticht,
b_utrecth,
b_amersfoort,
b_naarden,
b_woerden,
b_baarn,
c_oversticht,
b_ommen,
b_zwolle,
b_kampen,
b_deventer,
c_groningen,
b_coevorden,
b_groningen,
b_assen,
b_steenwijk,
d_frisia,
c_frisia,
b_harlingen,
b_leeuwarden,
b_staveren,
b_wadeilannen,
b_dokkum,
c_dokkum,
b_emmen,
b_appingedam,
b_delfzijl,
c_ostfriesland,
b_emden,
b_wilhelmshaven,
b_varel,
d_gelre,
c_guelders,
b_geldern,
b_venlo,
b_venray,
b_grave,
c_arnhem,
b_arnhem,
b_apeldoorn,
b_harderwijk,
b_barneveld,
b_elburg,
c_zutphen,
b_zutphen,
b_borculo,
b_bredevoort,
b_doetinchem,
c_nijmegen,
b_nijmegen,
b_tiel,
b_dorestad,
b_leerdam,
k_lotharingia,
d_bouillon,
c_bouillon,
b_bouillon,
b_paliseul,
c_namur,
b_namur,
b_couvin,
b_florennes,
b_dinant,
b_andenne,
d_liege,
c_liege,
b_liege,
b_huy,
b_durbuy,
b_waremme,
b_stablo,
c_horne,
b_hoorn,
b_roermond,
b_deurne,
b_weert,
b_bree,
c_stavelot,
b_stavelot,
b_malmedy,
b_ferriere,
c_maastricht,
b_loon,
b_tongeren,
b_sint_truiden,
b_leeuw,
b_hasselt,
d_luxembourg,
c_luxembourg,
b_luxembourg,
b_garnich,
b_diekirch,
c_chiny,
b_chiny,
b_virton,
c_vianden,
b_vianden,
b_clervaux,
b_prum,
c_arlon,
b_arlon,
b_messancy,
c_laroche,
b_la_roche,
b_saint_hubert,
b_rochefort,
b_bastogne,
d_bar,
c_bar,
b_bar,
b_argonne,
c_briey,
b_briey,
b_hayange,
c_vaucouleurs,
b_vaucouleurs,
b_toul,
d_hainaut,
c_hainaut,
b_mons,
b_ath,
b_charleroi,
b_leuze,
b_soignies,
c_valenciennes,
b_valenciennes,
b_malboden,
b_avesnes,
c_cambray,
b_cambrai,
b_chastel,
d_brabant,
c_brabant,
b_leuven,
b_geldenaken,
b_aarschot,
b_diest,
b_tienen,
c_den_bosch,
b_den_bosch,
b_eindhoven,
b_sint_oedenrode,
c_brussel,
b_brussels,
b_coudeberg,
b_asse,
b_halle_belgium,
b_nijvel,
c_mechelen,
b_mechelen,
b_londerzeel,
b_heist_op_den_berg,
c_antwerpen,
b_antwerpen,
b_lier,
b_turnhout,
b_hoogstraten,
b_arendonk,
c_breda,
b_breda,
b_rosendaal,
b_bergen_op_zoom,
b_tilburg,
d_limburg,
c_limburg,
b_limbourg,
b_maastricht,
b_valkenburg,
b_eupen,
b_verviers,
c_salm,
b_vielsalm,
b_sankt_vith,
d_julich,
c_aachen,
b_aachen,
b_eschweiler,
b_heerlen,
c_julich,
b_julich,
b_duren,
b_gladbach,
c_mark,
b_mark,
b_hagen,
b_hukeswag,
c_bergh,
b_bergh,
b_siegburg,
c_dortmund,
b_dortmund,
b_essen,
b_recklinghausen,
c_cleves,
b_kleve,
b_wezel,
b_moers,
b_emmerik,
d_pfalz,
c_speyer,
b_heidelberg,
b_speyer,
b_hockenheim,
b_weissenburg,
b_pirmasens,
c_worms,
b_letningen,
b_worms,
b_besensheim,
c_kaiserslautern,
b_kaiserslautern,
b_rockenhausen,
b_veldenz,
c_zweibrucken,
b_zweibrucken,
b_bitsch,
d_trier,
c_trier,
b_trier,
b_beda,
b_konz,
b_wadern,
d_upper_lorraine,
c_nancy,
b_blamont,
b_nancy,
b_blankenberg,
b_salm,
c_metz,
b_metz,
b_saarburg,
b_faulquemont,
c_saarbrucken,
b_saarbrucken,
b_forbach,
c_puttlingen,
b_puttlingen,
b_finstigen,
c_neufchateau,
b_vaudemont,
b_neufchateau,
b_epinal,
d_koln,
c_cologne,
b_cologne,
b_bonn,
b_neuss,
b_nauenahr,
c_koblenz,
b_koblenz,
b_adenau,
b_cochem,
b_sponhem,
k_carinthia,
d_carinthia,
c_karnten,
b_klagenfurt,
b_sankt_veit,
b_wolfsberg,
c_kammersberg,
b_kammersberg,
b_murau,
b_irdning,
c_knittelfeld,
b_knittelfeld,
b_judenburg,
b_admont,
c_villach,
b_villach,
b_feldkirchen,
b_spittal,
d_osterreich,Rakusia
c_vienna,Vídeň
b_vienna,Vídeň
b_ernstbrunn,
b_floridsdorf,
b_padun,
b_bruck,
c_linz,Travensko
b_steyr,
b_linz,Linec
b_leonfelden,
c_hohenau,Cáhnov
b_hohenau,Cáhnov
b_laa,
b_mistelbach,
c_sankt_polten,Svatý Hypolit
b_sankt_polten,Svatý Hypolit
b_mariazell,
b_wieselburg,
c_freistadt,Cáhlov
b_freistadt,Cáhlov
b_spitz,
b_zwettl,
b_gmund,
c_amstetten,Jivica
b_amstetten,Jivica
b_waidhofen,
c_krems,Kremže
b_krems,Kremže
b_wild,
b_horn,
b_haugsdorf,
d_steyermark,
c_graz,
b_graz,
b_koflach,
b_kapfenberg,
b_leoben,
b_feldbach,
c_pitten,
b_pitten,
b_oberwart,
c_liebnitz,
b_liebnitz,
b_maribor,
b_windische_buhel,
c_murzzuschlag,
b_murzzuschlag,
b_ostfurstenfeld,
d_krain,
c_ljubljana,
b_ljubljana,
b_dobovec,
b_rudolfswerde,
b_ribnica,
c_kranj,
b_kranj,
b_krsko,
b_kamnik,
d_istria,
c_pula,
b_pula,
b_piran,
b_pazin,
b_labin,
d_friuli,
c_aquileia,
b_aquileia,
b_trieste,
b_udine,
b_grado,
c_friuli,
b_caorle,
b_pordenone,
b_concordia,
c_gorz,
b_gorizia,
b_triglavski,
k_schwaben,
,
d_teck,
c_grunningen,
b_teck,
b_grunningen,
b_vehringen,
b_reutlingen,
c_zollern,
b_zollern,
b_hohenberg,
,
,
b_rottweil,
c_nellenburg,
b_nellenburg,
b_sigmaringen,
b_heiligenberg,
d_baden,
c_baden,
b_baden,
b_eberstein,
b_sulz,
b_geroldseck,
c_breisgau,
b_freiburg,
b_sankt_blasien,
b_offenburg,
c_furstenberg,
b_furstenberg,
b_lupfen,
b_clettgau,
d_tubingen,
c_calw,
b_calw,
b_nagold,
b_tubingen,
c_ulm,
b_helfenstein,
b_ulm,
b_hellenenstein,
c_nordlingen,
b_oettingen,
b_dillingen,
c_vaihingen,
b_stauffen,
b_esslingen,
b_nordlingen,
b_crailsheim,
b_hall,
c_wurttemberg,
b_wurttemberg,
b_vaihingen,
b_lowenstein,
d_augsburg,
c_augsburg,
b_augsburg,
b_friedberg,
b_lechrain,
b_kaufbeuren,
c_ravensburg,
b_ravensburg,
b_memmingen,
b_berge,
b_kempten,
c_burgau,
b_marsetten,
b_schelklingen,
b_burgau,
b_kirchberg,
d_currezia,
c_alpsee,
b_bregenz,
b_schongau,
b_peiting,
b_hohenschwangau,
b_werdenburg,
c_grisons,
b_chur,
b_bellinzona,
b_farduzes,
b_vares,
c_sankt_gallen,
b_kyburg,
b_zurich,
b_sankt_gallen,
b_konstanz,
c_zurich,
b_schwyz,
b_engelberg,
d_alsace,
c_strassburg,
b_selestat,
b_strassburg,
b_haguenau,
c_dagsburg,
b_dagsburg,
b_lichtberg,
c_sundgau,
b_ferrette,
b_colmar,
b_mulhouse,
k_bavaria,
d_niederbayern,
c_regensburg,
b_regensburg,
b_abensberg,
b_tegernheim,
b_leonsberg,
c_rothenburg,
b_rothenburg,
b_freising,
b_ilmunster,
c_geisenhausen,
b_geisenhausen,
b_erding,
c_frontenhausen,
b_ortenburg,
b_frontenhausen,
b_dornberg,
c_ingolstadt,
b_ingolstadt,
b_munchsmunster,
b_niederschonenfeld,
c_passau,
b_passau,
b_waldkirchen,
b_scharding,
b_deggendorf,
d_nordgau,
c_eichstadt,
b_hirschberg,
b_eichtstad,
b_neue_weissenburg,
c_leuchtenburg,
b_leuchtenburg,
b_kulmbach,
b_bayreuth,
c_parsberg,
b_sulzbach,
b_parsberg,
b_lengenfeld,
c_hohenburg,
b_hohenburg,
b_cham,
b_wenzenbach,
d_salzburg,
d_oberbayern,
c_munchen,
b_munchen,
b_wolfratshausen,
c_salzburg,
b_salzburg,
b_braunau,
b_hallein,
b_tamsweg,
c_eschenlohe,
b_aheim,
b_eschenlohe,
b_falkenstein,
b_tolz,
c_falkenstein,
b_burghausen,
b_traunstein,
b_laufen,
b_marquardstein,
c_berchtesgaden,
b_berchtesgaden,
b_laukental,
b_kitzbuhel,
c_hallstatt,
b_hallstatt,
b_liezen,
b_wels,
c_schaumberg,
b_schaumberg,
b_strasswalchen,
b_ried,
d_tyrol,
c_innsbruck,
b_innsbruck,
b_bozen,
b_kufstein,
c_brixen,
b_brixen,
b_bruneck,
c_trent,
b_trento,
b_bolzano,
b_val_camonica,
b_tirano,
c_lienz,
b_lienz,
b_obervallach,
b_matrei,
k_east_francia,
d_mainz,
c_mainz,
b_mainz,
b_boppard,
d_west_franconia,
c_frankfurt,
b_hanau,
b_frankfurt,
b_limburg,
b_russelsheim,
b_kronberg,
c_nassau,
b_diez,
b_siegen,
b_solms,
c_sayn,
b_sayn,
b_wied,
b_isenburg,
c_katzenelnbogen,
b_katzenelnbogen,
b_wiesbaden,
c_klingenberg,
b_klingenberg,
b_gelnhausen,
b_rieneck,
c_erbach,
b_erbach,
b_seligenstadt,
b_weinheim,
c_durne,
b_wertheim,
b_durne,
b_mosbach,
b_heilbronn,
d_nuremberg,
c_nurnberg,
b_nurnberg,
b_riedfeld,
b_neumarkt,
c_coburg,
b_coburg,
b_lichtenfels,
b_greiffenst,
c_ansbach,
b_trubending,
b_abenberg,
b_ansbach,
d_east_franconia,
c_wurzburg,
b_wurzburg,
b_hochberg,
b_hammelburg,
c_hohenlohe,
b_uffenheim,
b_mergentheim,
b_weinsberg,
c_bamberg,
b_bamberg,
b_casel,
b_iphofen,
c_wiltberg,
b_henneberg,
b_schmalkalden,
b_wiltberg,
b_schweinfurt,
d_hesse,
c_kassel,
b_kassel,
b_hofgeismar,
b_munden,
c_waldeck,
b_ziegenhain,
b_waldeck,
b_wittenstein,
c_fulda,
b_fulda,
b_hersfeld,
b_lauterbach,
c_marburg,
b_marburg,
b_nidda,
b_budingen,
b_wetzlar,
k_bohemia,
d_bohemia,
c_praha,
b_praha,
b_vysehrad,
b_beroun,
b_melnik,
b_slany,
b_milevsko,
c_litomerice,
b_litomerice,
b_bilina,
b_decin,
b_zitava,
c_zatec,
b_zatec,
b_kadan,
b_sedlec,
b_loket,
c_plzen,
b_plzen,
b_stribro,
b_primda,
b_domazlice,
b_prachen,
b_pisek,
c_doudleby,
b_doudleby,
b_netolice,
b_rozmberk,
b_krumlov,
b_chynov,
b_bechyne,
c_boleslav,
b_boleslav,
b_bezdez,
c_hradec,
b_hradec,
b_dvur-chvojno,
b_jaromer,
b_kladzko,
c_caslav,
b_caslav,
b_vraclav,
b_chrudim,
d_moravia,
c_olomouc,
b_olomouc,
b_unicov,
b_kromeriz,
c_opava,
b_opava,
b_hradec-nad-moravici,
c_prerov,
b_prerov,
b_spytihnev,
b_hodonin,
b_veseli,
c_brno,
b_brno,
b_ivancice,
b_zdar,
c_jihlava,
b_jihlava,
b_telcz,
c_znojmo,
b_znojmo,
b_bitov,
b_breclav,
b_mikulov,
k_saruhan,
k_trinacria,
k_tekke,
k_trebizond,
k_ottoman,
k_rum,
k_mentese,
k_karaman,
k_germiyan,
k_aydin,
k_candar,
k_albania,
k_thessalonika,
d_thrace,
c_byzantion,
b_constantinople,
b_hagiasophia,
c_thracemess,
b_mesembria,
b_burgas,
b_pomorie,
c_burgas,
b_sozopol,
b_agathopolis,
b_debelt,
c_ainos,
b_ainos,
b_kypsela,
b_malgara,
c_kalliopolis,
b_kalliopolis,
b_madytos,
c_selymbria,
b_selymbria,
b_herakleiaperinthos,
b_raidestos,
b_salmydessus,
b_bizye,
c_brysis,
b_arkadiopolis,
b_chariopolis,
b_brysis,
b_tzouroulos,
d_strymon,
c_mosynopolis,
b_mosynopolis,
b_xanthia,
b_thasos,
b_rodopi,
c_traianopolis,
b_traianopolis,
b_didymoteichon,
b_byalgrad,
c_serres,
b_serres,
b_siderokastron,
b_drama,
b_kavala,
d_aegean_islands,
c_naxos,
b_naxos,
b_thera,
b_andros,
b_tinos,
c_kyzikos,
b_kyzikos,
b_pagaea,
c_abydos,
b_abydos,
b_lampsakos,
b_ilion,
b_alexandriatroas,
c_lesbos,
b_mytilene,
b_lemnos,
b_skyros,
c_chios,
b_chios,
b_samos,
d_thessalonika,
c_thessalonika,
b_thessaloniki,
b_gynaikokastron,
b_langades,
b_mavrouda,
b_chrysopolis,
c_chalkidike,
b_polygyros,
b_rendina,
b_kassandreia,
b_ierrisos,
c_veria,
b_veria,
b_maglen,
b_sthlanitza,
b_voden,
b_kalyvia,
d_thessaly,
c_thessalia,
b_larissa,
b_platamon,
b_servia,
b_elasson,
c_demetrias,
b_demetrias,
b_velestino,
b_halmyros,
c_neopatras,
b_neopatras,
b_domokos,
b_gardikia,
b_zetouni,
b_pharsalos,
c_thessaliotis,
b_trikala,
b_grevena,
b_stagoi,
k_epirus,
d_epirus,
c_nicopolis,
b_arta,
b_sivista,
b_angelokastron,
b_vonitsa,
c_epeiros,
b_ioaninna,
b_konitsa,
b_vella,
b_grava,
c_aetolia,
b_naupaktos,
b_prousos,
b_lidoriki,
c_metzovo,
b_metzovo,
b_gardiki,
b_vrestenitsa,
b_agrafa,
d_dyrrachion,
c_dyrrachion,
b_dyracchion,
b_savra,
b_lezhe,
c_arbanon,
b_kruje,
b_mat,
b_hiskampis,
c_debar,
b_debar,
b_peshkopi,
b_kukes,
c_antipatreia,
b_antipatreia,
b_skrapar,
b_argyrokastron,
b_kelycyre,
b_valamara,
c_avlonas,
b_avlonas,
b_himara,
d_cephalonia,
c_cephalonia,
b_cephalonia,
b_zakynthos,
c_buthrotum,
b_buthrotum,
b_corfu,
k_hellas,
d_athens,
c_attica,
b_athens,
b_megara,
b_oropos,
c_boeotia,
b_thebeshellas,
b_levadia,
b_boudounitsa,
b_amfissa,
c_euboea,
b_chalkis,
b_skopelos,
b_oreoi,
d_achaia,
c_achaia,
b_patras,
b_vostitsa,
b_andravida,
b_kalavryta,
c_arcadia,
b_nikli,
b_karytaina,
b_arcadia,
c_korinthos,
b_corinth,
b_argos,
b_damala,
c_messenia,
b_modon,
b_kalamata,
c_laconia,
b_mistra,
b_monemvasia,
b_lacedaemonia,
k_krete,
d_krete,
c_chandax,
b_iraklio,
b_agiosnikolaos,
b_ierapetra,
c_chania,
b_chania,
b_rethymno,
b_paleohora,
k_serbia,
d_usora,
c_zachlumia,
b_blagaj,
b_konjic,
b_obalj,
b_gacko,
b_nevesinje,
b_kljuc,
b_mostar,
c_hum,
b_rogatica,
b_srebrenica,
b_visegrad,Vyšehrad
c_podrinje,
b_hotca,
b_prijepolje,
b_breznica,
b_brskovo,
b_gorazde,
d_rashka,
c_rashka,
b_novotrgoviste,
b_sjenica,
b_budlimlje,
b_zica,
b_gradac,
b_arilje,
b_rujno,
c_sumadija,
b_krusevac,
b_koznik,
b_prokuplje,
c_hvosno,
b_pristina,
b_prizren,
b_pec,
b_zvecan,
b_podujevo,
d_macva,
c_macva,
b_macva,
b_debrc,
b_krupanj,
b_uzice,
c_beograd,
b_beograd,
b_smederevo,
b_rudnik,
b_kragujevac,
d_duklja,
c_duklja,
b_ribnicapodgorica,
b_plav,
b_drivast,
b_danj,
b_skadar,
b_moraca,
c_pomorje,
b_antivari,
b_ulcinj,
b_cattaro,
c_travunia,
b_trebinje,
b_onogost,
b_risan,
k_bosnia,
,
k_bulgaria,
d_vidin,
c_vidin,
b_vidin,
b_kladovo,
b_zajecar,
b_petrus,
b_belogradchik,
c_branicevo,
b_branicevo,
b_kucevo,
b_ravno,
d_turnovo,
c_turnovo,
b_turnovo,
b_cherven,
b_elena,
b_gabrovo,
c_sredets,
b_sredets,
b_meldi,
b_stipon,
b_rila,
b_samundzhievo,
c_nikopolis,
b_nikopolis,
b_pliven,
b_lovech,
c_dorostorum,
b_preslav,
b_dorostorum,
b_tutrakan,
b_shumen,
b_hrazgrad,
b_sborishte,
c_vratsa,
b_vratsa,
b_lom,
b_orehovo,
b_kutlovitsa,
c_aytos,
b_aytos,
b_provadiya,
b_ktenia,
d_dobrudja,
c_constanta,
b_constanta,
b_tulcha,
b_sulina,
b_mangalia,
c_mesembria,
b_karvuna,
b_varna,
d_bulgaria,
c_naissus,
b_naissos,
b_svrljig,
b_pirot,
b_breznik,
c_pomoravlje,
b_vranje,
b_glubocica,
b_novobrdo,
b_morava,
c_velbazhd,
b_velbazhd,
b_bosilegrad,
b_kratovo,
